id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12386841,JE256403,6/6/2021 22:00,011XX W THORNDALE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,TRUE,2433,24,48,77,26,1167645,1939685,2021,6/13/2021 16:53,41.99004597,-87.65872931,(41.99004597-87.65872931)
12387705,JE257402,6/6/2021 22:00,015XX E 76TH PL,810,THEFT,OVER $500,STREET,FALSE,FALSE,411,4,8,43,6,1188193,1854575,2021,6/13/2021 16:53,41.75603217,-87.58587707,(41.75603217-87.58587707)
12388256,JE257993,6/6/2021 22:00,0000X E 58TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,232,2,20,40,7,1177376,1866569,2021,6/13/2021 16:53,41.78919605,-87.62515671,(41.78919605-87.62515671)
12386881,JE256373,6/6/2021 22:00,092XX S ELLIS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,413,4,8,47,08B,1184498,1843982,2021,6/13/2021 16:53,41.72705114,-87.59974919,(41.72705114-87.59974919)
12387191,JE256908,6/6/2021 21:45,005XX E OAKWOOD BLVD,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,214,2,3,38,6,1180497,1878797,2021,6/13/2021 16:53,41.8226796,-87.61333753,(41.8226796-87.61333753)
12386766,JE256371,6/6/2021 21:45,035XX S MORGAN ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,915,9,11,60,08B,1170219,1881537,2021,6/13/2021 16:53,41.83042858,-87.65096322,(41.83042858-87.65096322)
12386811,JE256376,6/6/2021 21:40,087XX S HOUSTON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,424,4,10,46,08B,1198041,1847529,2021,6/13/2021 16:53,41.73645697,-87.55002214,(41.73645697-87.55002214)
12386826,JE256451,6/6/2021 21:39,021XX W LEXINGTON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,GOVERNMENT BUILDING / PROPERTY,FALSE,FALSE,1225,12,28,28,08A,1162296,1896746,2021,6/13/2021 16:53,41.87233263,-87.67960815,(41.87233263-87.67960815)
12386778,JE256377,6/6/2021 21:38,072XX S MAPLEWOOD AVE,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,832,8,18,66,08A,1160625,1856644,2021,6/13/2021 16:53,41.76232266,-87.68685082,(41.76232266-87.68685082)
12387305,JE256367,6/6/2021 21:35,015XX N DAMEN AVE,460,BATTERY,SIMPLE,CONVENIENCE STORE,FALSE,FALSE,1424,14,1,24,08B,1162794,1909952,2021,6/13/2021 16:53,41.90856054,-87.67740914,(41.90856054-87.67740914)
12386800,JE256379,6/6/2021 21:31,061XX S VERNON AVE,820,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,FALSE,TRUE,313,3,20,42,6,1180307,1864339,2021,6/13/2021 16:53,41.78300996,-87.61447815,(41.78300996-87.61447815)
12386820,JE256432,6/6/2021 21:30,053XX S PAULINA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,932,9,16,61,08B,1165917,1869324,2021,6/13/2021 16:53,41.79700743,-87.66709478,(41.79700743-87.66709478)
